url,"Jan 1 2024, 12:00AM - Dec 12 2024, 9:04AM"
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction,232903
https://www.flyovercanada.com/,189788
https://bookings.flyovercanada.com/FOC/checkout,99018
https://bookings.flyovercanada.com/FOC/enhance,77181
https://bookings.flyovercanada.com/FOC/activities/details/3/YVR-FOC/Attraction,68995
https://www.flyovercanada.com/now-showing/,58419
https://bookings.flyovercanada.com/FOC/activities/3,55326
https://www.flyovercanada.com/pricing-packages/,55195
https://www.flyovercanada.com/hours-location/,44440
https://bookings.flyovercanada.com/printorder,43414
https://www.flyovercanada.com/experience/,29652
https://bookings.flyovercanada.com/FOC,22215
https://www.flyovercanada.com/faqs/,13417
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2022-09-29,11168
https://bookings.flyovercanada.com/FOC/activities?abExternalOpen=true,10636
https://www.flyovercanada.com/stories/where-to-see-cherry-blossoms-in-vancouver/,9169
https://www.flyovercanada.com/contact-us/,8980
https://www.flyovercanada.com/now-showing/soar-with-santa/,8462
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2022-12-08,8459
https://www.flyovercanada.com/group-events/,7226
https://bookings.flyovercanada.com/FOC/activities,6944
https://www.flyovercanada.com/pricing-packages/kids-ride-free/,6622
https://www.flyovercanada.com/flying-whale-cafe/,6523
https://gtm-msr.appspot.com/render2?id=GTM-WWT8FF,5648
https://www.flyovercanada.com/gift-tickets/,5628
https://flyovercanada.com/,5164
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-GIFT/Attraction,4304
https://www.flyovercanada.com/stories/the-newfoundland-mystique-of-iceberg-alley/,4236
https://www.flyovercanada.com/toronto/,4075
https://www.flyovercanada.com/stories/stanley-park-5-cool-and-quirky-facts/,3981
https://www.flyovercanada.com/experience/photos/,3860
https://www.flyovercanada.com/safety-accessibility/,3617
https://www.flyovercanada.com/terms-conditions/,3587
https://www.flyovercanada.com/hours-location/about-canada-place/,3520
https://www.flyovercanada.com/now-showing/halloween/,3136
https://www.flyovercanada.com/stories/best-places-to-watch-sunset-in-vancouver/,2705
https://bookings.flyovercanada.com/FOC/activities/details/3/YVR-FOC-GIFT/Attraction,2612
https://flyovercanada.com/contact-us/pricing/,2482
https://www.flyovercanada.com/?blank=true,2319
https://www.flyovercanada.com/stories/things-to-do-in-vancouver-with-kids-this-weekend/,2207
https://www.flyovercanada.com/pricing-packages/breakfast-with-santa/,1850
https://www.flyovercanada.com/contact-us/pricing/,1615
https://www.flyovercanada.com/stories/a-weekend-in-vancouver/,1613
https://www.flyovercanada.com/stories/a-half-day-in-vancouver/,1402
https://www.flyovercanada.com/?gad_source=1,1344
https://www.flyovercanada.com/stories/what-is-a-flight-ride/,1219
https://flyovercanada.com/now-showing/,1189
https://www.flyovercanada.com/stories/five-surprising-facts-about-taiwan/,1117
https://www.flyovercanada.com/stories/6-rainy-day-activities-to-do-in-vancouver/,1104
https://www.flyovercanada.com/group-events/birthdays/,905
https://www.flyovercanada.com/stories/attending-a-conference-at-canada-place/,888
https://www.flyovercanada.com/stories/vancouver-with-the-kids-a-day-out-and-about/,882
https://www.flyovercanada.com/group-events/school-groups/,847
https://flyovercanada.com/pricing-packages/,792
https://www.flyovercanada.com/stories/canada-place-7-cool-facts/,719
https://www.flyovercanada.com/stories/,697
https://flyovercanada.com/experience/,667
https://flyovercanada.com/hours-location/,614
https://www.flyovercanada.com/stories/why-kids-love-flyover-canada/,613
https://www.flyovercanada.com/contact-us/donation-requests/,577
https://www.flyovercanada.com/stories/what-to-know-about-windborne/,561
https://www.flyovercanada.com/now-showing/legendary-iceland/,547
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction?promoCode=TELUS25%23%2Fselect-ticket%2Fbook-adventure,514
https://www.flyovercanada.com/stories/what-to-know-about-awaken-canada-at-flyover/,491
https://flyovercanada.com/gift-tickets/,480
https://www.pursuitcollection.com/flyover-attractions/,426
https://flyovercanada.com/experience/photos/,408
https://www.flyovercanada.com/pricing-packages/breakfast-with-the-easter-bunny/,393
https://www.flyovercanada.com/stories/13-fun-facts-from-across-canada/,365
https://www.flyovercanada.com/stories/behind-the-scenes-with-flyover-canada/,348
https://www.flyovercanada.com/stories/why-vancouver-loves-coffee/,331
https://www.flyovercanada.com/stories/what-to-do-for-lunar-new-year-in-vancouver/,324
https://www.flyovercanada.com/land-acknowledgement/,323
https://www.flyovercanada.com/group-events/corporate-groups/,319
https://flyovercanada.com/flying-whale-cafe/,309
https://flyovercanada.com/faqs/,301
https://www.flyovercanada.com/stories/10-facts-for-10-years-at-flyover-canada/,289
https://www.flyovercanada.com/group-events/birthdays/ultimate-pilots/,279
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction?promoCode=TELUS25,252
https://bookings.flyovercanada.com/null/activities,235
https://www.flyovercanada.com/stories/5-fun-facts-about-iceland/,194
https://www.flyovercanada.com/group-events/birthdays/little-flyers/,187
https://www.flyovercanada.com/stories/icelandic-storytelling/,182
https://www.flyovercanada.com/stories/mother-s-day-in-vancouver/,159
https://flyovercanada.com/group-events/,157
https://flyovercanada.com/pricing-packages/kids-ride-free/,156
https://www.flyovercanada.com/stories/7-fun-facts-about-windborne/,141
https://flyovercanada.com/contact-us/,131
https://www.flyovercanada.com/pricing-packages/?gad_source=1,129
https://flyovercanada.com/safety-accessibility/,124
https://www.flyovercanada.com/stories/inside-the-scene-the-newfoundland-mystique/,124
https://www.flyovercanada.com/stories/coal-harbour-highlights-a-vancouver-walking-tour/,112
https://www.flyovercanada.com/time/,107
https://www.flyovercanada.com/now-showing/?gad_source=1,102
https://flyovercanada.com/hours-location/about-canada-place/,101
https://www.flyovercanada.com/group-events/birthdays/oh-canada/,101
https://www.flyovercanada.com/stories/getting-the-shot-the-making-of-flyover-iceland/,101
https://bookings.flyovercanada.com/FOC/manage,96
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction?WebLink=31UOvWJR8P930JTRQfgSkw%3d%3d,93
https://flyovercanada.com/now-showing/soar-with-santa/,92
https://stage.flyovercanada.com/,88
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-GIFT/Attraction/2024-11-26/ADM-GIFT/2/0?updateCartItem=YVR-FOC-GIFT,86
https://www.flyovercanada.com/stories/what-the-rockies-mean-to-me-harley-bastien/,86
https://flyovercanada.com/now-showing/halloween/,82
https://www.flyovercanada.com/stories/4-reasons-for-a-flyover-field-trip/,69
https://flyovercanada.com/terms-conditions/,67
https://www.flyovercanada.com/stories/flyover-getting-the-shot-stehekin-washington/,64
https://www.flyovercanada.com/stories/flyover-canada-an-experience-for-everyone/,61
https://www.flyovercanada.com/stories/a-warm-welcome-for-ukrainians-in-vancouver/,54
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-GIFT/Attraction/2024-12-01/ADM-GIFT/2/0?updateCartItem=YVR-FOC-GIFT,51
https://bookings.flyovercanada.com/agents-login,51
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-GIFT/Attraction/2024-11-25/ADM-GIFT/2/0?updateCartItem=YVR-FOC-GIFT,49
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-13/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,49
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-GIFT/Attraction/2024-11-27/ADM-GIFT/2/0?updateCartItem=YVR-FOC-GIFT,45
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-GIFT/Attraction/2024-12-02/ADM-GIFT/2/0?updateCartItem=YVR-FOC-GIFT,43
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-26/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,43
https://stage.flyovercanada.com/now-showing/,42
https://www.flyovercanada.com/?vngagetrans=M72T1ih0K2YnVlcvWkRb,42
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-08-03/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,39
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-GIFT/Attraction/2024-11-30/ADM-GIFT/2/0?updateCartItem=YVR-FOC-GIFT,38
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-06/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,37
https://flyovercanada.com/pricing-packages/breakfast-with-santa/,36
https://www.flyovercanada.com/stories/the-ultimate-vancouver-christmas/,36
https://www.flyovercanada.com/stories/going-further-together/,35
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-GIFT/Attraction/2024-11-28/ADM-GIFT/2/0?updateCartItem=YVR-FOC-GIFT,34
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-PHOTO/Attraction/2024-11-23/2/0?fromwebtray=1,34
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-06-29/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,34
https://bookings.flyovercanada.com/activities/3,34
https://www.flyovercanada.com/newsletter-signup/,34
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-01/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,33
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-02/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,33
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-04/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,33
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-20/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,33
https://prod.flyovercanada.com/,33
https://www.flyovercanada.com/2024/home/,33
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-GIFT/Attraction/2024-11-29/ADM-GIFT/2/0?updateCartItem=YVR-FOC-GIFT,32
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-01/ADM-BC-ADV/2/0?updateCartItem=YVR-FOC,32
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-PHOTO/Attraction/2024-10-12/2/0?fromwebtray=1,31
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-25/ADM-BC-ADV/2/0?updateCartItem=YVR-FOC,31
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-27/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,31
https://flyovercanada.com/group-events/corporate-groups/,31
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC-PHOTO/Attraction/2024-12-07/2/0?fromwebtray=1,30
https://bookings.flyovercanada.com/FOC/activities/details/YVR-FOC/Attraction/2024-07-14/ADM-FL-ADV/2/0?updateCartItem=YVR-FOC,30
